OKPOCode;name
32820792;ТОВ ЕКВАТОР КТВ;
32975728;"ТОВ ""ТОРГОВИЙ ДIМ ""ЕРА ВОДОЛIЯ""";
33005922;"ТОВ ""СЗМВ""";
33105683;"ТОВ ""МЦБ ""МІБ""";
33133003;"ООО ""НГЗ""";
33234522;Кред.заборг.за плат.фіз о на юр осіб;
00131954;"Акцiонерна Компанiя  ""Харкiвобленерго""";
00165681;"ОАО ДОН МАШЗ-Д ""ЭКСПЕРИМЕНТ""";
00374752;"ДП ""Суходiльский спиртовий завод""";
00379270;"ВАТ ""Арцизський завод продтоварiв""";
00444576;"ВАТ ""Шаргородський маслозавод""";
00446150;МЕТЕКС ЗАО;
01075980;Дебальцевск.дистанция электроснабжения;
02011976;IНСТИТУТ ОНКОЛОГIЄ АМНУ;
13751877;"ВАТ ""IК ""АЙКО""";
14106593;"ТОВ ""ДАНА""";
14272771;"ЗАТ ""Імпульс""";
14310483;УКРНДПРIПРОМТЕХНОЛОГII;
14310767;"Київське ВАТ ""Артембудсервіс""";
14348327;ТОВ ЮВЕ-КИЇВ;
16290738;"ТОВ ""Варяг""";
19364012;"АТЗТ  ""ДІЖИТЕК  СЕРВІС""";
19494134;"АТЗТ ""Квазар-Мiкро Техно""";
20800263;"ПП ""ЛТА-ПРИВАТ""";
20854767;"ТЗОВ ""ТІБЕТ""";
21033423;"ПТК    ""КРУАССАН""";
22133291;СЛАДКО,ТОВ;
22717081;АО 'Алекс.комб.пpодтоваpов';
22866094;КОРПОРАЦІЯ ТАСКО;
22911788;СИМВОЛ-ІКТ ТОВ*;
23269259;"СП ТзОВ ""Вока-Львїв""";
23466847;СИНДИ. ООО;
23706079;"ТОВ "" НАРОДНА МЕДИЦИНА  ДАНИЛИ ЗУБИЦЬК";
23740975;ТОРГСЕРВИС,ЗАТ;
23951910;"КП ""Ясень""";
24012522;Сумська фiлiя Укрпромбанку;
24089818;"ЗАТ ""ПОЗНЯКИ-ЖИЛ-БУД""";
24093880;UKRAINE LEISURE COMPANY;
24255986;"ЗАТ""НВП ""УКРПРОМАРСЕРВIС""";
24506253;"ООО ""АГРОМАШПРИБОРСТРОЙ-АУДИТ""";
24647077;Iнститутфiзики гiрничих процесiв НАНУ;
24897584;"ТОВ Телерадiокомпан.""Пiлот""";
24985779;"ЧП ""Коралл""";
25223994;"ТзОВ ""Фабрика меблів ВЕЕМ""";
25337539;"ЗАТ ФПК  ""БIС ХОЛДIНГ""";
26064546;Первом.бюро Харк.торгово-промисл.палат;
26168139;IНСТИТУТ НЕФРОЛОГIЄ АМНУ;
30212223;ТОВ УКРРОС-ЗЕРНО;
30260544;ХРИЗОЛ1Т пп;
30267382;"ТзОВ ""Мережеві технології""";
30434062;"ТОВ ""СТАР ТЕЛЕКОМ""";
30472459;"ТОВ""ОЛФА""";
30551949;"ТОВ ""Холдинг Зерноторгівельна комп-я""";
30584728;"ПФ ""МІЛЕКС Л""";
30773938;"ЗАТ ""Новоселівський ГОК""";
30936797;"ТОВ ""ВІЛЛА-С""";
31069235;"СП ""Бесарабiя-транзит""у виглядi ТОВ";
31089089;"ТОВ ""Вибір""";
31147999;"Підприємство ""Кроно-Львів""";
31218650;"ТзОВ ""Євро - Трейд плюс""";
31313455;"ТОВ ТОPГОВИЙ ДIМ ""АМPИТА""";
31346103;"ПРИВАТНЕ ПIДПРИМСТВО ""ПРОМОКОФЕ""";
31463005;ТОВ `ТЕХНОТЕРН ПЛЮС`;
31593948;"ПП ""Автопрофіт""";
31663166;ПП `ЕКСІМПРОДУКТ`;
31744779;`КСИКОМ СЕРВIС` ТОВ;
31778368;ТОВ ЕЛ КОНСАЛТИНГ;
31806976;ДЕНТАУМ;
31839116;"ТОВ ""ЕПІКОН""";
31851463;"ООО ""ОДЕССНОВОСТРОЙ""";
31960658;"ТзОВ ""Украєнський лiсовий ринок""";
32161857;"ТОВ ""Сiльський час""";
32207330;"ПП ""Укрчайпром""";
32252577;`ТОЧКА.РУ` ТОВ;
32302444;"ТОВ ""Компанія ТЕСКО""";
32374079;"ТОВ""Кирмакс""";
32466172;АIСТ  ТОВ;
32487743;"ТОВ ""РА ДИЗАЙН""";
32500037;Дебатний клуб молодих науковцiв;
32516246;"ООО НПО ""Технология-Экология-Качество""";
32592856;АГРОХОЛДИНГ БЕРДИЧ1ВСЬКИЙ,ТОВ;
32620757;"ТОВ""Лемма Авто"" в нацювалюті";
32710782;"ТОВ ""Евростар""";
32768303;ПП АЛАНБУД;
32813366;"ТзОВ ""Хмельн.фiнансово-прмислова ком";
32824928;"Приватне підприємство ""Патерсон""";
32947732;"ТОВ ""ГРА-консалтинг""";
32959905;АПССОТ;
32960968;ЗАТ `СК `ТРАДИЦIЄ ЖИТТЯ`;
33105044;"ТОВ "" Глобальнi цифровi картогр.моде";
33147477;"ТОВ ""КФ""НОВА АДРЕСА""";
00213196;АТ П1ВДЕННИЙ ЕЛЕКТРОМАШ З-Д;
00231573;СИНЕЛЬНИКОВСКИЙ РЕССОРНИЙ ЗАВОД ОАО;
00234838;"ВАТ ""ЕКТI Автопром""";
01038699;Дн.обл.вироб.упр.водного господарства;
02573585;IНТУРИСТ-ПОЛТАВА,ВАТ;
02789598;Старобешевське вiддiлення N 3314 ОБ;
03972577;ЖУВП УТОГ;
05539726;СЛОВ.УВП УКР.ТОВ.ГЛУХИХ;
05748803;ВАТ КИЇВСЬКИЙ ВЕРСТАТОБУДIВНИЙ КОНЦЕРН;
09352261;"Ф-Я""ВІД.ПІБ В М.НОВА КАХОВКА ХЕРС.ОБЛ.";
13320143;IВП IнноВiнн;
13662837;"ТзОВ ВКФ ""Тpіумф""";
13804007;"ДП ""Албiс-Компанi""";
13822123;"МК НВП ""Екотранс""";
13833204;"ВТФ ""КОНТЕХ""";
13951984;ТзОВ ` Механiчно-ремонтний завод `;
14069716;"ТОВ фірма ""Торсінг""";
14179758;МЕХАНОТРОН, ПНВП;
14276674;ЗАО ДУНАЙ;
14313151;ПРИБОРОСТР.З-Д `СОКОЛ`;
14372484;КОМП'ЮТЕР СЕРВIС СП;
16307261;АССОЦ МЕЖДУH АВТОМ ПЕРЕВОЗЧ;
16400411;ДНВП ''РІКАС'';
19151204;"ЗАО с ИИ ""Югчермет""";
19382814;СКИФ-2 ,ООО;
20001349;"ДП "" Підсобне господарство СБУ """;
20205997;СЕМИКС НПЧФ;
20803793;ПОЛIТЕППП;
21195769;"ППФ ""СОЛЯРIС""";
21229505;"ЛІЦЕЙ""ПРОФЕСІОНАЛ""";
21335288;"ТОВ ""АВТОПІЛОТ""";
21871396;ПОЛЮС ООО;
22627544;ЧФ ЮЗАНО;
23247594;ВЕЗУВИЙ, ООО ПИП;
23385356;ТОВ `ОРІЙ`;
23619376;ТОВ НВТК ТВАЙС-СЕРВIС;
23832335;ПМТЗ Агропромтехнiка,ТОВ;
24263833;"УКТР""ЮТАР""";
25869118;"ПОЛТАВСЬКА ФІЛІЯ АБ ""УКРГАЗБАНК""";
26192356;"Ф-Я АБ""ПЕРШИЙ ІНВЕСТ.БАНК""В М.ЖИТОМИРІ";
26272055;Платежи граждан (физ.лица);
26278371;"ЖИТОМИРСЬКА ФіЛіЯ ТОВ ""УКРПРОМБАНК""";
30493238;"ТОВ ""СУХІ СУМІШІ""";
30753520;ТОВ ПАНIК ДИЗАЙН;
31255289;"ЗАТ ""ВЛГЗ""";
31349345;"ПП ""МЕДСЕРВІС-ГАРАHТ""";
31412317;"ТОВ ""Силует""";
31508758;"ТОВ ""МПК""";
31744543;"ТОВ ""СПЕРОУ ТЕХНОЛОГІЇ""";
31765778;"ТзОВ ВКП ""Системи управління-КОНСИС""";
31768889;"ТОВ ""АВАЛОН""";
31815205;"ТОВ ""ВИДАВНИЦТВО ""МЕГА-ПРЕС""";
31851374;АЙСБЕРГ,ООО;
31887201;"ТОВ ""МРІЯ-КОМПРОМІС""";
31894994;"ПП ""СТРАВИ""";
31984307;ТОВ НВО ЛАКТОЛ КИЇВ;
32249889;"ООО ""Транспостач""";
32381421;"ТОВ ""СКАЙЛIНК""";
32492330;"ЗАТ""РЕСТОРАН""ТАРАС БУЛЬБА""";
32530564;"ТОВ ""АВГУСТ ПЛЮС""";
32538610;КАРИЯ МТКА, УП ТОВ;
32616997;"ТОВ""ДФЗ""";
32691498;"ТОВ ""ВКФ ""ЗЛАТА""";
32821560;"ТОВ ""ЧИБіС""";
32857361;Гарант Юридична компанiя ТОВ;
32865880;"ООО ""Глория Ltd""";
32887836;ВП ТОВ(ВАША ПАРА);
32896568;ООО`АХТИАР-С`;
32984444;"ТОВ ""ЗК ""АГРОТЕКС""";
33059915;ТОВ `ДЕВІД СЛІНГЕР`;
33089384;"ПП ""ВІП ЗЕБРА""";
33103026;КОМПАНIЯ АМОН-РАТОВ;
33109080;"ТОВ ВФ ""ДОМ""";
33120586;"ТОВ ""АВТО-ДЕНТ""";
33131603;СКФТОВ;
33178641;"АСОЦIАЦIЯ ""УКРРУДПРОМ""";
00238233;ГАЛЕЩИНСЬК МАШБУДЗАВОД СХ МАШИН,ВАТ;
02841465;ДТРК(170);
03358819;"МIЖНАРОДНИЙ ФОНД ""ВIДРОДЖЕННЯ""";
04797679;НБУ - ЛЬВІВСЬКИЙ БАНКІВСЬКИЙ ІНСТИТУТ;
04797685;ХАРКІВСЬКА Ф-Я УКР.АКАД.БАНКІВ.СПРАВИ;
05743013;"ВАТ ""ХЗКВ""";
05832768;ІНЖЕНЕРНО-ТЕХНІЧНИЙ ЦЕНТР НБУ, М.КИЇВ;
09303133;"Ф.""ВОЛИНСЬКЕ ЦЕНТ.ВІД.ПРОМІНВЕСТБАНКУ""";
09353467;УПРАВЛІННЯ НБУ В ЧЕРНІГІВСЬКІЙ ОБЛАСТІ;
13699817;"ТОВ ""КЛЕН""";
13842153;ТОВ НВЦ ДIАГНОСТIКА ТА КОНТРОЛЬ;
14079887;"ТОВНВІП ""АМОЛЕС""";
19252307;"ТОВ ""УКРПОЛІМЕРКОНСТРУКЦІЯ""";
21089369;ЭЛЬФ, ТОВ;
21366515;НБУ-ЧЕРКАС.Ф-Я УКР.АКАД.БАНКІВ.СПРАВИ;
21401105;"Ф.""ВІД.ПІБ В СМТ.БЕРЕЗНА ЧЕРНІГІВ.ОБЛ""";
21489100;"ВАТ ""УКРНАФТОХІМПРОЕКТ""";
21654295;"ФІНАНСОВА КОМПАНІЯ УКРАНЕТ""";
21667056;ДЕРЖАВНА СКАРБНИЦЯ УКРАЇНИ, М.КИЇВ;
21684221;ЦЕНТРАЛЬНА РОЗРАХ.ПАЛАТА НБУ, М.КИЇВ;
21705584;Ленинградский ф-л АКБ КИЕВ;
22058017;ФАБРИКА БАНКНОТНОГО ПАПЕРУ;
22129970;"ВАТ""Універсал-Авіа""";
22820034;"ТОВ ВКФ ""УРБЕКС Ltd""";
22955277;"ПП з ІНОЗ.ІНВ-МИ ""УНІТЕХ-БАУ""";
23427801;"ООО ""Аквилон""";
23635020;НБУ - УКР.АКАДЕМІЯ БАНКІВСЬКОЇ СПРАВИ;
24589552;ПРОМОТЕКС СИСТЕМС СП УКР.НІМ. ТОВ;
25179773;"ТОВ""Харк.регіон.центр інвестицій""";
25194040;"ТОВ ""СТЕЛС-1""";
25586840;"ПП ""вротрейд""";
26206696;Кредиторська заборгованiсть за прийнят;
26260112;МЕГАБАНК;
26287045;"Вiнницька фiлiя  АКIБ ""УкрСиббанк""";
26379511;IНСТ.МIЖН.ДОСЛ.ПРОЦ.IНТЕГР.ТА ГЛОБЛ;
26507713;"ООО ""СОВИНВЕСТ""";
30520905;"TОВ  ""ПапірПродукт+""";
30623269;"ЛІЗІНГОВА КОМПАНІЯ ""АКТИВ"" ТОВ";
30674235;"ВАТ ЛК ""УКРТРАНСЛIЗИНГ""";
30839534;"ТОВ ""АСКАНIЯ-ФЛОРА""";
30960573;"ЗАТ ""УКРШАМПіНЬЙОН""";
30998628;ООО `Промторгоборудование`;
31086643;"ТОВ ""ВІА ТЕЛЕПОРТ""";
31212952;"ООО""Эйр-Трэйд""";
31230552;ЗАПОРІЗЬКИЙ ЗАВОД ПОБУТОВОЙ ТЕХНІКИ;
31356305;ПП ВЕСТ ЛАЙН ДИСТРИБЮШН;
31452543;ШАРТЕ-М ТОВ;
31471849;"ТОВ ""ДОНБАС ПЛЮС""";
31524827;ПП`IНТЕРБIЛД`;
31591453;ЧП СТЕВИЯ;
31603128;"ТОВ""ЮРИДИЧНА КОМПАНIЯ""ПОЗИТИВ""";
31725735;"ПП ""Фоpтуна- ХХІ""";
31740659;"ПІДПР.З ІНОЗ.ІНВЕС.ТОВ ""ПАРК-ЕЛЕКТРІК""";
31965808;"ТОВ""ГЕРМЕС ШИППІНГ""";
32291066;ЕКОТЕХНОЛОГIЯ  ТОВ;
32304640;СІГМА ГРУП ІНЖИНІРИНГ;
32347815;ТОВ `Автомобільна група `Богдан`;
32384307;"ТОВ""РIЕЛТI-ГРУП""";
32393086;ДИЗАЙН ХАУСТОВ;
32508539;"ПП ""ШАНСАЛ""";
32577749;ТЕХНОПОЛIС-ТРЕЙД,ТОВ;
32588771;"ТОВ ""ВІЛАН""";
32642152;"ТОВ""Енергетічні інвестори""";
32674729;"ТОВ ""РИБОКОНСЕРВНИЙ ЗАВОД ""ЕКВАТОР""";
32696559;ТОВ `IНВАЦ`;
32710625;ТОВ `Українські електричні систе;
32793779;НВ ТРЕЙД ООО;
32847699;"ТОВ ""ЄНІСЕЙ ГРУП""";
32952407;ТОВ `Група компанiй Анталекс`;
33053803;`Бiохiм фарм`ТОВ;
33104543;"ТОВ""Ласка Лiзинг""";
33124250;РИС УКРАИНЫ ООО;
33247594;"концеpн ""Укpспецекологiя""";
33298371;КОМПАНІЯ УКРБУД;
33506710;"ТОВ ""ОЛ1С""";
33717705;синій льон ПП;
02766002;ВЕРХНЬОРОГАЧИНСЬКЕ ВІД.N 7359 ОБ ХЕРС.;
02766143;ЦЮРУПІНСЬКЕ ВІД.N 3256 ОБ ХЕРСОНСЬКОЇ;
02766172;ВИСОКОПІЛЬСЬКЕ ВІД.N 7360 ОБ ХЕРСОНСЬК;
02766410;БІЛОЗЕРСЬКЕ ВІД.N 5900 ОБ ХЕРСОНСЬКОЇ;
02766479;ВАТ ДОБ ВІДДІЛЕННЯ N-2907 ТЕОФІПОЛЬ;
02766507;ВАТ ДОБ ВІДДІЛЕННЯ N-3216 ЧЕМЕРІВЦІ;
02766516;ВАТ ДОБ ВІДДІЛЕННЯ N-231 ШЕПЕТІВКА;
02766781;ВАТ ДОБ ВІДДІЛЕННЯ N-2903 БІЛОГІР'Я;
02766806;ВАТ ДОБ ВІДДІЛЕННЯ N-3201 ВОЛОЧИСЬК;
02766812;ВАТ ДОБ ВІДДІЛЕННЯ N-3203 ГОРОДОК;
02766829;ВАТ ДОБ ВІДДІЛЕННЯ N-3204 ДЕРАЖНЯ;
02766835;ВАТ ДОБ ВІДДІЛЕННЯ N-3205 ДУНАЇВЦІ;
02766841;ВАТ ДОБ ВІДДІЛЕННЯ N-2890 ІЗЯСЛАВ;
02766864;ВАТ ДОБ ВІДДІЛЕННЯ N-3210 ЛЕТИЧІВ;
02766953;КОРСУНЬ-ШЕВЧЕНКІВСЬКЕ ВІД.N3285 ЧЕРК.;
02766982;МАНЬКІВСЬКЕ ВІД. ОБ N 3323 ЧЕРКАСЬКОЇ;
02767065;ГОРОДИЩЕНСЬКЕ ВІД. ОБ N 3278;
02767071;ДРАБІВСЬКЕ ВІД. ОБ N 3096 ЧЕРКАСЬКОЇ;
02767088;ЖАШКІВСЬКЕ ВІД. ОБ N 2980 ЧЕРКАСЬКОЇ;
02767094;ЗВЕНИГОРОДСЬКЕ ВІД. ОБ N 2970;
02767317;НІЖИНСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767326;ЩОРСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767349;НОСІВСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767355;НОВГОРОД-СІВЕРСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІ-Ї;
02767378;ПРИЛУЦЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767639;БАХМАЦЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767645;БОБРОВИЦЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767651;БОРЗНЯНСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767668;ВАРВИНСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767674;ГОРОДНЯНСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767697;КОЗЕЛЕЦЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767711;КОРЮКІВСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767734;РІПКИНСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767740;СЕМЕНІВСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767775;ТАЛАЛАЇВСЬКЕ ВІД.ВАТ ДОБ ЧЕРНІГІВСЬКОЇ;
02767786;ЧЕРНІГІВСЬКЕ РАЙОННЕ ВІД.ВАТ ДОБ 7903;
02768018;"Ф-Я""СОКИРЯНСЬКЕ ВІД.N6801 ВАТ""ДОБ УКР""";
02768047;"Ф-Я ""ГЛИБОЦЬКЕ ВІД. N6794 ВАТ""ДОБ УКР""";
02768062;"Ф-Я""КЕЛЬМЕНЕЦЬКЕ ВІД.N6796 ВАТ""ДОБ УКР";
02768076;"Ф-Я""КІЦМАНСЬКЕ ВІД. N6797 ВАТ""ДОБ УКР""";
02768107;"Ф-Я ""ХОТИНСЬКЕ ВІД. N6713 ВАТ""ДОБ УКР""";
02768113;"Ф-Я""СТОРОЖИНЕЦ.ВІД.N6730 ВАТ""ДОБ УКР""";
09315308;"РРЦ ЛІКВІДАТОРА БАНКУ""УКРАЇНА"",ХМЕЛЬНИ";
09315432;УПРАВЛІННЯ НБУ У ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ;
09353444;"РРЦ ЛІКВІДАТОРА БАНКУ""УКРАЇНА"",ЧЕРНІГІ";
09354024;УПРАВЛІННЯ НБУ В ЧЕРКАСЬКІЙ ОБЛАСТІ;
09354691;"РРЦ ЛІКВІДАТОРА БАНКУ""УКРАЇНА"",ЧЕРКАСЬ";
09356170;"РРЦ ЛІКВІДАТОРА БАНКУ""УКРАЇНА"",ЧЕРНІВЕ";
09356187;УПРАВЛІННЯ НБУ В ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ;
13419686;ДОПСОК ЗАО;
14253207;"АК ""ЇВРОБАНК"", ЧЕРНІГІВ";
19358454;"ХМЕЛЬНИЦЬКА РЕГІОН.ФАБ ""УКООПСПІЛКА""";
21296499;"Ф-Я АБ ""УКООПСПІЛКА"", М.ХЕРСОН";
21326487;"ІЗЯСЛАВСЬКА ФІЛІЯ АБ ""УКООПСПІЛКА""";
21336715;"ФАКБ ""НАЦІОНАЛЬНИЙ КРЕДИТ"" В М.ПОЛОННЕ";
21403529;"ЧЕРНІГІВСЬКЕ ТВБВ ""ПРАВЕКС-БАНК""";
21413433;"ЧЕРНІВ.Ф-Я АБ ""УКООПСПІЛКА""";
21445835;"ПЕРША Ф-Я АТ ""УФТ"" У М.ЧЕРНІВЦІ";
22761202;"ФАТ ""УФГ"" У М. ХЕРСОН";
23827280;"ФІЛІЯ""ВІД.ПІБ В М.ГОРОДОК ХМЕЛЬН.ОБЛ.""";
26000090;"ЧЕРНІГІВ.ФІЛІЯ ВАТ БАНКУ ""БІГ ЕНЕРГІЯ""";
26083590;"ХЕРСОНСЬКА Ф-Я ХАК ""ЗЕМЕЛЬНИЙ БАНК""";
26084684;"ФІЛІЯ АКБ ""НАДРА"" У М.НОВА КАХОВКА";
26184612;"ЧЕРНІВЕЦЬКА ОБЛАСНА ФІЛІЯ АТ ""УФГ""";
26211208;"ЧЕРНІГІВСЬКА ФІЛІЯ ВАТ ""МЕГАБАНК""";
26217412;"ХМЕЛЬНИЦЬКА ОБЛАСНА ФІЛІЯ АТ ""УФГ""";
26283745;"ХЕРСОН.ФЗАТ""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""";
26347899;"ФІЛІЯ ВАТ КБ ""НАДРА"" ХЕРСОНСЬКЕ РУ";
26380891;"ХМЕЛЬНИЦЬКА ФІЛІЯ АБ ""ФАКТОРІАЛ-БАНК""";
26407041;"ЧЕРНІГІВСЬКА ФІЛІЯ ТОВ ""УКРПРОМБАНК""";
31969320;"ТОВ ""Олександрiя-БЛiГ""";
02758008;Кредитова заборг. за прийняті платежі;
02763972;МАШІВСЬКЕ ВІД. 5473 ОБ ПОЛТАВСЬКОЇ;
02763989;МИРГОРОДСЬКЕ 3088 ВІД. ОБ ПОЛТАВСЬКОЇ;
02764049;СЕМЕНІВСЬКЕ ВІД. 3076 ОБ ПОЛТАВСЬКОЇ;
02764055;ХОРОЛЬСЬКЕ  ВІД. 3108 ОБ ПОЛТАВСЬКОЇ;
02764061;ЧУТІВСЬКЕ  ВІД. 3197 ОБ ПОЛТАВСЬКОЇ;
02764084;ШИШАЦЬКЕ ВІД. 5465 ОБ ПОЛТАВСЬКОЇ;
02764121;ГРЕБІНКІВСЬКЕ ВІД. 5482 ОБ ПОЛТАВСЬКОЇ;
02764180;КОТЕЛЕВСЬКЕ 6263 ВІД. ОБ ПОЛТАВСЬКОЇ;
02764196;ЛОХВИЦЬКЕ ВІД. 3087 ОБ ПОЛТАВСЬКОЇ;
02764204;ЛУБЕНСЬКЕ ВІД. 146 ОБ ПОЛТАВСЬКОЇ;
02765534;ВОВЧАНСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬКОЇ;
02765557;САХНОВЩИНСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬК;
02765675;ЗАЧЕПИЛІВСЬКЕ ВІД.ОЩАДБАНКУ ХАРКІВСЬК;
02765681;ЗМІЇВСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬКОЇ;
02765698;ЗОЛОЧІВСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬКОЇ;
02765706;ІЗЮМСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬКОЇ;
02765712;КУП'ЯНСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬКОЇ;
02765729;КРАСНОГРАДСЬКЕ ВІД.ОЩАДБАНКУ ХАРКІВСЬК;
02765764;БОГОДУХІВСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬК;
02765801;КРАСНОКУТСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬК;
02765818;ЛОЗІВСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬКОЇ;
02765847;ЧУГУЇВСЬКЕ ВІД. ОЩАДБАНКУ ХАРКІВСЬКОЇ;
02766019;ВЕЛИКООЛЕКСАНДРІВСЬКЕ ВІД. N 3247 ОБ;
02766025;ВЕЛИКОЛЕПЕТИХСЬКЕ ВІД.N 3140 ОБ ХЕРСОН;
02766031;ГЕНІЧЕСЬКЕ ВІД.N 3141 ОБ ХЕРСОНСЬКОЇ;
02766048;ГОЛОПРИСТАНСЬКЕ ВІД.N 3249 ОБ ХЕРСОНС.;
02766054;ГОРНОСТАЇВСЬКЕ ВІД.N 5433 ОБ ХЕРСОНСЬК;
02766077;КАЛАНЧАЦЬКЕ ВІД.N 3257 ОБ ХЕРСОНСЬКОЇ;
02766094;НИЖНЬОСІРОГОЗЬКЕ ВІД.N 3148 ОБ ХЕРС.;
02766108;НОВОВОРОНЦОВСЬКЕ ВІД.N 5426 ОБ ХЕРСОНС;
02766114;НОВОТРОЇЦЬКЕ ВІД. N 3149 ОБ ХЕРСОНСЬК.;
02766137;СКАДОВСЬКЕ ВІД.N 3254 ОБ ХЕРСОНСЬКОЇ;
02766918;ХРИСТИНІВСЬКЕ ВІД. ОБ N 2975;
02766924;ЧОРНОБАЇВСЬКЕ ВІД.ОБ N 3291 ЧЕРКАСЬКОЇ;
02766999;МОНАСТИРИЩЕНСЬКЕ ВІД. ОБ N 2972;
02767013;ТАЛЬНІВСЬКЕ ВІД. ОБ N 2973 ЧЕРКАСЬКОЇ;
02827554;КРЕМЕНЕЦЬКЕ ВІД. ОБ ТЕРНОПІЛЬСЬКОЇ;
02827560;БЕРЕЖАНСЬКЕ ВІД.ОБ 6352 ТЕРНОПІЛЬСЬКОЇ;
02827577;БОРЩІВСЬКЕ ВІД.ОБ 6353 ТЕРНОПІЛЬСЬКОЇ;
02827583;БУЧАЦЬКЕ ВІД. ОБ ТЕРНОПІЛЬСЬКОЇ;
02827590;ЗАЛІЩИЦЬКЕ ВІД. ОБ ТЕРНОПІЛЬСЬКОЇ;
02827614;ЗБОРІВСЬКЕ ВІД. ОБ ТЕРНОПІЛЬСЬКОЇ;
02827620;ТЕРЕБОВЛЯНСЬКЕ ВІД. ОБ ТЕРНОПІЛЬСЬКОЇ;
02827654;ЛАНІВЕЦЬКЕ ВІД. ОБ ТЕРНОПІЛЬСЬКОЇ;
02827672;ГУСЯТИНСЬКЕ ВІД. ОБ ТЕРНОПІЛЬСЬКОЇ;
04774862;КОМСОМОЛЬСЬКЕ ВІД. 8210 ОБ ПОЛТАВСЬКОЇ;
04774885;ЧЕРКАСЬКЕ ВІД. ОБ N 8224 ЧЕРКАСЬКОЇ;
06711015;"ФІЛІЯ АКБ ""НАДРА"" В М. ОХТИРКА";
09338232;"РРЦ ЛІКВІДАТОРА БАНКУ""УКРАЇНА"",ТЕРНОПІ";
09338410;УПРАВЛІННЯ НБУ В ТЕРНОПІЛЬСЬКІЙ ОБЛАС.;
09351445;УПРАВЛІННЯ НБУ В ХАРКІВСЬКІЙ ОБЛАСТІ;
09351468;"РРЦ ЛІКВІДАТОРА БАНКУ""УКРАЇНА"",ХАРКІВС";
09351505;"Ф.""ВІД.ПІБ В М.КРАСНОГРАД ХАРКІВ. ОБЛ.";
09351511;"Ф.""ВІД.ПІБ В М.КУП'ЯНСЬК ХАРКІВ.ОБЛ.""";
09352278;"РРЦ ЛІКВІДАТОРА БАНКУ""УКРАЇНА"",ХЕРСОНС";
09352290;УПРАВЛІННЯ НБУ В ХЕРСОНСЬКІЙ  ОБЛАСТІ;
13966224;"Ф-Я УКБ ""ВІДРОДЖЕННЯ"" М.ПОЛТАВА";
21888509;"П/П ФІРМА ""ЕЛІТА""";
22476921;ТРК`РЕНОМЕ` ТОВ;
22704760;"ЛОЗІВСЬКА Ф-Я АППБ ""АВАЛЬ""";
22766267;"ФАТ ""УФГ"" У М. ХАРКІВ";
22799251;"ФАТ ""УФГ"" У М. ЧЕРКАСИ";
23535778;"ТОВ ""ПРОМПРИЛАД""";
24275575;"БАРВІНКІВ. Ф-Я ХАРК.АКРБ ""РЕГІОН-БАНК""";
25343920;"ФІЛІЯ АТ ""УФГ"" В М.ТЕРНОПІЛЬ";
25693004;"ДРУГА ФІЛІЯ АТ ""УФГ"" У М. ПОЛТАВА";
25752913;"Ф-Я АКБ ""НАЦІОНАЛЬНИЙ КРЕДИТ"",БАЛАКЛЕЯ";
25935826;"ПЕРША ФІЛІЯ АТ ""УФГ"" В М.ТЕРНОПІЛЬ";
26026698;"ПЕРША ФІЛІЯ АТ ""УФГ"" В М. КРЕМЕНЧУК";
26096977;"ФІЛІЯ АБ ""КИЇВСЬКА РУСЬ"" У М.УМАНІ";
