OKPOCode;name
05420735;iФОХтаВХ iм. Л.М.Литвиненко НАНУ;
24276480;Комінтернівське ТВБВ;
24671667;"ТВБВ КФС""Експобанк""";
31082518;"ТОВ ""ЗЛГЗ ""Златогор""";
02766367;Облуправління Ощадбанку;
21509937;ООО АГРОМАТ;
02759083;ПРАВОБЕРЕЖН.ОТДЕЛЕНИЕ 6719;
02841413;ОД ТРК;
02126811;"ВАТ ""УкрНДІП""";
02070743;НАЦIОНАЛЬНИЙ ГIРНИЧИЙ УНIВЕРСИТЕТ;
22778220;ГАЗЕТА ПОДIЛЬСКИЙ БАЗАР,ТОВ;
00191164;ДОНЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД ОАО;
22405648;ВIДКPИТЕ АКЦIОНЕPНЕ ТОВАPИСТВО ЗМIНА;
09351014;Транзитный счет банка;
30019801;"ДК ""УКРТРАНСГАЗ""";
14361032;ПЛАТЕЖІ ВІД НАСЕЛЕННЯ;
00158764;`УкрНДІгаз`;
30929127;"ТОВ ""Росавто""";
24945165;Кред.з-ть по принят.пл.ф.л.;
09805171;УКРЕКСІМБАНК, м.Львів;
09311279;Обласна фiлiя УСБ, м.Житомир;
02011798;УНДИ ПРОМЫШЛЕННОЙ МЕДИЦИНЫ;
02070890;КИЄВ.НАЦ.УНIВ.ТЕХН.ТАаДИЗАЙНУааааааааа;
02761766;Симферопольское городское отделение №3;
05417153;ФIЗИКО-ТЕХНОЛ.IН-ТаМЕТАЛ.IаСПЛАВIВаНАН;
09351451;"Ф.""ХАРКІВСЬКЕ ЦЕНТРАЛЬНЕ ВІД.ПІБ""";
25959784;"ЗАТ ""КОМЕРЦІЙНИЙ БАНК НРБ-УКРАЇНА""";
24075913;"ДНІПРОВСЬКА ФВАТ ""МКБ"", М.КИЇВ";
09334464;"Ф.""ЦЕНТР-МІСЬКЕ ВІД.ПІБ В М.ГОРЛІВКА""";
24262621;УДК У М.КИЇВІ;
09334441;"Ф.""ІЛЛІЧІВ.ГОЛ. ВІД.ПІБ В М.МАРІУПОЛЬ""";
23213460;УПРАВЛІННЯ ДК У ОДЕСЬКІЙ ОБЛАСТІ;
09322171;"ФІЛІЯ ""МОСКОВСЬКЕ ВІД.ПІБ В М.КИЇВ""";
23977045;УДК У ДОНЕЦЬКІЙ ОБЛАСТІ;
09325100;"ФІЛІЯ ""ЗАЛІЗНИЧ.ВІД-Я ПІБ В М.ЛЬВОВІ""";
23042001;Ф-Я ПЕРШОГО УКР.МІЖН.БАНКУ,М.МИКОЛАЇВ;
09334553;"Ф.""ВІД.ПІБ В М.КОСТЯНТИНІВКА ДОНЕЦЬКОЇ";
23911595;УДК У ХАРКІВСЬКІЙ ОБЛАСТІ;
24074109;УДК У КИЇВСЬКІЙ ОБЛАСТІ, М.КИЇВ;
09311055;"ФІЛІЯ""ЖИТОМИРСЬКЕ ЦЕНТ.ВІДДІЛЕННЯ ПІБ""";
23809514;УДК У ПОЛТАВСЬКІЙ ОБЛАСТІ;
25960155;"ФІЛІЯ АКБ ""ЗОЛОТІ ВОРОТА"" У М. КИЇВІ";
21727137;УДК У ВІННИЦЬКІЙ ОБЛАСТІ;
23928791;УДК У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ;
21705801;"КИЇВСЬКА ФІЛІЯ ВАТ ""СКБ ""ДНІСТЕР""";
25292831;"АК ""ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК"", КИЇВ";
02762524;ЛЬВІВСЬКЕ МІСЬКЕ ВІД.ОБ №6319;
20401758;"ЖИТОМ.ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ""";
20482372;"Ф.""ШЕВЧЕНКІВСЬКЕ ВІД.ПІБ В М.ЗАПОРІЖЖ""";
22621582;"ХАРКІВСЬКА ФІЛІЯ АБ ""ТАВРИКА""";
22103982;"СВАЛЯВСЬКА Ф-Я ТОВ КБ ""КООПІНВЕСТБАНК""";
22060617;УДК У ЖИТОМИРСЬКІЙ ОБЛАСТІ;
09325376;"Ф-Я""ВІД.ПІБ В М.ЧЕРВОНОГРАД ЛЬВІВ.ОБЛ""";
09322254;"ФІЛІЯ ""КИЇВСЬКЕ МІСЬКЕ ВІДДІЛЕННЯ ПІБ""";
22892559;ТОВ НЕВIНПАТ - УКРАЇНА;
19180186;ПАТЕНТ,НАУЧ.-ВНЕДРЕНЧ.ФИРМА;
19289902;ООО HПП МИТЭК;
00174088;МАКНИИ;
24657972;К/З КОММУН.ПЛАТЕЖ;
14347701;"ЗАТ ""ВАЙСЕ""";
09328015;Одеська обл. філія УСБ;
23180453;КРАМАТОРСКОЕ ОТДЕЛЕНИЕ ДОН. ТПП;
00114092;"IНСТИТУТ ""УКРЕНЕРГОМЕРЕЖПРОЕКТ""";
31879613;IНТЕЛЕКТ ПЛЮС, ПП;
31201474;ТОВ ДУБИНСЬКИЙ І ОШАРОВА;
05391028;ТОВ СКБ ВИСОКОВОЛ.АПАРАТУРИ;
26259669;"РІВНЕНСЬКА ФІЛІЯ АКІБ ""УКРСИББАНК""";
30781343;Городисський та партнери;
16298421;Новікова Л.А.;
14314334;"УКР НИИЭМ ""ВЕСТА""";
23184400;ЧНПФ ЦЕНТР;
30440956;"ТОВ ""Хімік -Плюс""";
05417383;IН-Т ЗНХ ім. В,І,Вернадського НАНУ;
31551929;"ООО "" РА АВРОРА""";
31239267;"ТОВ ""ЕФЕС""";
21685485;"АКБ ""СІТІБАНК"" (УКРАЇНА)";
09351391;"Ф.""ДЗЕРЖИНСЬКЕ ВІД.ПІБ В М.ХАРКІВ""";
25571287;"ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",ЧЕРНІГ";
24010308;"КОВПАК.ФАКБ ""НАЦІОНАЛЬНИЙ КРЕДИТ"",СУМИ";
09304533;"Ф-Я ""ВІД.ПІБ В М.СЕВЕРОДОНЕЦЬК ЛУГ.ОБ""";
22115838;УДК У ЗАКАРПАТСЬКІЙ ОБЛАСТІ;
