MFO;SNAME;NAME;IKOD;ADRESS;TELEFON
696403;"ІФ Від.№9 ""Електрон Банк""";"ІФ Відділення №9 ВАТ ""Електрон Банк""";;м.Снятин вул. Шевченка, 61а/2;2-52-46
696414;"ІФ Від.№10 ""Електрон Банк""";"ІФ Відділення №10 ВАТ ""Електрон Банк""";;м.Косів вул.Незалежності, 65-а;2-02-88
696425;"ІФ Від.№11 ""Електрон Банк""";"ІФ Відділення №11 ВАТ ""Електрон Банк""";;с.Хутір-Будилів вул.Баронська, 1;7-16-72
696436;"Регіон.ВЗАТ""ОТП Банк""м.Ів-Ф";"РЕГІОН.ВЗАТ""ОТП БАНК""ВМ.ІВ-ФРАНКІВ";;м.Івано-Франківськ вул. П. Орлика, буд. 8;714277
696447;"Бог.в.ЗРФ АКБ""Трансб"",Львів";"БОГ.ВІД.ЗРФ АКБ ""ТРАНСБАНК"" М.ЛЬВІВ";;смт.Богородчани вул.Шевченка, нежит.буд.№53/3;2-42-69
696458;"Від.Банк""Демарк"",Ів-Франків";"ВІД.БАНКУ ""ДЕМАРК"",ІВАНО-ФРАНКІВСЬК";;м.Івано-Франківськ вул. Гетьмана Мазепи, буд. 38;537042
696469;В1 в Ів.-Фр. Ф. ПУПБ в Льв.;"В№1 В ІВ.-ФРАН. Ф.ЗАТ ""ПУМБ"" В ЛЬВОВІ";;м.Івано-Франківськ вул. Андрій Мельника, буд.2;715630
696470;"ІВАНО-ФР.ВІД.ТОВ""КБ""ДЕЛЬТА""";"ІВАНО-ФРАНКВ.ТОВ""КОМБ""ДЕЛЬТА""М.ІВ-ФР.";;м.Івано-Франківськ вул. Бельведерська,27;71-20-42
696481;"Івано-Франк№1ЗАТ""АЛЬФАБАНК""";"ІВАНО-ФРАНК№1ЗАТ""АЛЬФАБАНК"",М.ІВ-ФРАНК";;м.Івано-Франківськ площа Ринок, 14;270-58-04
696492;"Від.№47ВАТ АБ""Укргазбанк""";"ВІД.№47ВАТАБ""УКРГАЗБАНК""М.І-ФРАНК.";;м.Івано-Франківськ вул. Мельника, 11;509061
696500;"Від.№40ВАТ АБ ""Укргазбанк""";"ВІД.№40 ВАТАБ""УКРГАЗБАНК""М.КОЛОМИЯ";;м.Коломия вул. Довбуша, 19;38-583
696511;"Ів.-Фр.в.№1ЗАТ АКБ ""Львів""";"Івано-Франківське від.№1 ЗАТ АКБ""Львів";;"с.Вовчинець вул.Вовчинецька, 225/5 ""а""";72-14-85
697004;"Сумське в.№1""ТАС-Комерцбанк";"В.№1""ТАС-КОМЕРЦБАНК""М.СУМИ";;м.Суми вул.Пролетарська, 50;67-00-58
